data,indicador,horizonte,referencia,base_calculo,mediana,media,desvio_padrao,minimo,maximo,n_respondentes,fonte
2026-09-11,Resultado nominal,anual,2026,0,-8.81,,,,,57,pdf
2026-09-11,Resultado nominal,anual,2026,1,-8.81,,,,,43,pdf
2026-09-11,Resultado nominal,anual,2027,0,-8.5,,,,,56,pdf
2026-09-11,Resultado nominal,anual,2027,1,-8.5,,,,,42,pdf
2026-09-11,Resultado nominal,anual,2028,0,-7.89,,,,,49,pdf
2026-09-11,Resultado nominal,anual,2029,0,-7.39,,,,,45,pdf
2026-09-11,Resultado primário,anual,2026,0,-0.45,,,,,62,pdf
2026-09-11,Resultado primário,anual,2026,1,-0.4,,,,,46,pdf
2026-09-11,Resultado primário,anual,2027,0,-0.4,,,,,61,pdf
2026-09-11,Resultado primário,anual,2027,1,-0.38,,,,,45,pdf
2026-09-11,Resultado primário,anual,2028,0,-0.22,,,,,55,pdf
2026-09-11,Resultado primário,anual,2029,0,-0.15,,,,,51,pdf
2026-09-11,Selic,anual,2026,0,13.75,,,,,143,pdf
2026-09-11,Selic,anual,2026,1,13.56,,,,,98,pdf
2026-09-11,Selic,anual,2027,0,12,,,,,142,pdf
2026-09-11,Selic,anual,2027,1,12,,,,,97,pdf
2026-09-11,Selic,anual,2028,0,10.5,,,,,119,pdf
2026-09-11,Selic,anual,2029,0,10,,,,,110,pdf
2026-09-11,Selic,mensal,2026-09,0,13.75,,,,,142,pdf
2026-09-11,Selic,mensal,2026-09,1,13.75,,,,,,pdf
2026-09-11,Selic,mensal,2026-11,0,13.75,,,,,142,pdf
2026-09-11,Selic,mensal,2026-11,1,13.75,,,,,,pdf
